CODE_IRIS,NOM_IRIS,Nb_Pharmacies,Nb_Commerces,Nb_Restaurants,Nb_Transports,Nb_VLille,Nb_ParcsEnfants,Nb_ComplexesSportifs,Nb_Ecoles,Nb_Bars,Nb_Parkings,Surface_Verte_m2,Bruit_Leq_dB,Norm_Bruit,Norm_Nb_Pharmacies,Norm_Nb_Commerces,Norm_Nb_Restaurants,Norm_Nb_Transports,Norm_Nb_VLille,Norm_Nb_ParcsEnfants,Norm_Nb_ComplexesSportifs,Norm_Nb_Ecoles,Norm_Nb_Bars,Norm_Nb_Parkings,Norm_Surface_Verte_m2,Norm_Bruit_Leq_dB,Norm_Norm_Bruit,Prix_Median_m2,Norm_Prix
593500101,Lille Centre 1,0,0,0,1,0,0,0,0,0,1,3523.220273645108,66.55683647586993,0.8231890584120806,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.01351351351351351,0.003613017876087088,0.1768109415879195,0.8231890584120806,3436.5,0.489089184060721
593500106,Lille Centre 6,1,1,12,16,5,1,0,1,2,8,78562.69567080942,92.87316357583008,0.3039669502647052,0.25,0.3333333333333333,0.2926829268292683,1.0,1.0,0.09090909090909091,0.0,0.04166666666666666,0.04545454545454546,0.1081081081081081,0.08056505180090708,0.6960330497352948,0.3039669502647052,4388.0,0.1881720430107527
593500107,Lille Centre 7,0,0,2,0,1,0,0,0,0,2,0.0,57.59532559128539,1.0,0.0,0.0,0.04878048780487805,0.0,0.2,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,1.0,3436.5,0.489089184060721
593500108,Lille Centre 8,0,0,6,2,0,0,0,0,2,1,0.0,58.28704454093578,0.9863523595097923,0.0,0.0,0.1463414634146341,0.125,0.0,0.0,0.0,0.0,0.04545454545454546,0.01351351351351351,0.0,0.01364764049020767,0.9863523595097923,3436.5,0.489089184060721
593500109,Lille Centre 9,1,0,13,0,0,0,0,0,0,4,0.0,62.82422787325666,0.8968335643561044,0.25,0.0,0.3170731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.1031664356438957,0.8968335643561044,3436.5,0.489089184060721
593500110,Lille Centre 10,1,2,3,0,2,0,0,0,3,1,27.15802131605095,61.98875691986611,0.9133174372030868,0.25,0.6666666666666666,0.07317073170731707,0.0,0.4,0.0,0.0,0.0,0.06818181818181818,0.01351351351351351,2.785020772843397e-05,0.0866825627969132,0.9133174372030868,3436.5,0.489089184060721
593500113,Lille Centre 13,0,1,6,4,3,1,0,2,4,11,25855.72335275233,97.38672123376683,0.2149142905414491,0.0,0.3333333333333333,0.1463414634146341,0.25,0.6,0.09090909090909091,0.0,0.08333333333333333,0.09090909090909091,0.1486486486486487,0.0265147176211062,0.7850857094585509,0.2149142905414491,3378.0,0.5075901328273245
593500114,Lille Centre 14,1,0,0,1,0,0,0,0,0,1,0.0,65.50887013031758,0.84386547321489,0.25,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.01351351351351351,0.0,0.1561345267851099,0.84386547321489,3436.5,0.489089184060721
593500302,Vauban-Esquermes,0,0,0,1,0,0,0,0,0,0,0.0,65.50887013031758,0.84386547321489,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1561345267851099,0.84386547321489,3436.5,0.489089184060721
593500701,C.H.R.,0,0,1,15,2,0,2,9,0,36,163998.2512887275,100.0964738807016,0.1614507704782124,0.0,0.0,0.02439024390243903,0.9375,0.4,0.0,0.3333333333333333,0.375,0.0,0.4864864864864865,0.1681781346416264,0.8385492295217876,0.1614507704782124,3436.5,0.489089184060721
593500709,Lopofa-Tudor,0,0,0,1,0,4,0,9,0,16,48245.66522624009,102.0871861041102,0.1221739445964376,0.0,0.0,0.0,0.0625,0.0,0.3636363636363636,0.0,0.375,0.0,0.2162162162162162,0.04947532012404542,0.8778260554035624,0.1221739445964376,3436.5,0.489089184060721
593500904,La MEL,0,0,0,0,0,0,0,0,0,3,7050.94403977151,102.5012617466433,0.1140042168364863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.007230654026813843,0.8859957831635137,0.1140042168364863,3436.5,0.489089184060721
593502401,Ãpine Mont de Terre 1,0,1,0,4,0,0,0,0,0,4,19132.8263192954,101.1182937342217,0.1412902269313767,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.01962047165451994,0.8587097730686233,0.1412902269313767,3436.5,0.489089184060721
593502405,Ãpine Mont de Terre 5,0,0,0,2,1,0,0,0,0,10,2180.179615448985,98.52361959002724,0.1924832438743135,0.0,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.1351351351351351,0.00223574664991023,0.8075167561256865,0.1924832438743135,3436.5,0.489089184060721
593502701,Zone d'Activités-Marché d'Intérêt National,0,2,1,3,0,0,0,0,0,27,117752.7450902563,94.18008556824203,0.2781813309605078,0.0,0.6666666666666666,0.02439024390243903,0.1875,0.0,0.0,0.0,0.0,0.0,0.3648648648648649,0.1207539523293163,0.7218186690394922,0.2781813309605078,3436.5,0.489089184060721
593502706,Plate-Forme Multimodale,0,0,0,0,0,0,0,0,0,6,73703.63239635009,103.2238462784794,0.09974759726683595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.07558214380534863,0.9002524027331641,0.09974759726683595,3436.5,0.489089184060721
593500310,Citadelle,0,0,1,1,1,10,1,0,1,4,975146.0951698277,66.4604017236819,0.825091719643625,0.0,0.0,0.02439024390243903,0.0625,0.2,0.9090909090909091,0.1666666666666667,0.0,0.02272727272727273,0.05405405405405406,1.0,0.1749082803563749,0.825091719643625,3436.5,0.489089184060721
593500104,Lille Centre 4,0,0,3,4,2,0,0,0,2,1,3753.878367237643,60.69409092263105,0.9388612452686177,0.0,0.0,0.07317073170731707,0.25,0.4,0.0,0.0,0.0,0.04545454545454546,0.01351351351351351,0.003849554836789745,0.06113875473138235,0.9388612452686177,4464.0,0.1641366223908918
593500105,Lille Centre 5,2,2,14,5,4,0,0,0,32,2,0.0,64.63127542384524,0.8611804492699732,0.5,0.6666666666666666,0.3414634146341464,0.3125,0.8,0.0,0.0,0.0,0.7272727272727273,0.02702702702702703,0.0,0.1388195507300269,0.8611804492699732,4243.0,0.2340290955091714
593500111,Lille Centre 11,3,0,38,5,2,1,0,8,11,8,5996.081479322144,65.77745576980284,0.8385662686024097,0.75,0.0,0.926829268292683,0.3125,0.4,0.09090909090909091,0.0,0.3333333333333333,0.25,0.1081081081081081,0.006148905798856621,0.1614337313975903,0.8385662686024097,4259.0,0.2289690069576218
593500112,Lille Centre 12,2,2,41,2,4,2,3,3,17,11,13550.92299996726,63.45907354944857,0.8843080356571884,0.5,0.6666666666666666,1.0,0.125,0.8,0.1818181818181818,0.5,0.125,0.3863636363636364,0.1486486486486487,0.01389630032575506,0.1156919643428115,0.8843080356571884,4047.0,0.2960151802656547
593500115,Lille Centre 15,0,1,7,2,2,2,0,4,1,11,18624.88219432225,63.5231751268179,0.8830433091620794,0.0,0.3333333333333333,0.1707317073170732,0.125,0.4,0.1818181818181818,0.0,0.1666666666666667,0.02272727272727273,0.1486486486486487,0.01909958137203904,0.1169566908379205,0.8830433091620794,3436.5,0.489089184060721
593500116,Lille Centre 16,1,0,11,4,1,0,0,2,6,9,1957.741829556898,64.36772666788266,0.8663802759840404,0.25,0.0,0.2682926829268293,0.25,0.2,0.0,0.0,0.08333333333333333,0.1363636363636364,0.1216216216216216,0.00200763951089395,0.1336197240159596,0.8663802759840404,3645.0,0.4231499051233397
593500117,Lille Centre 17,1,0,9,3,1,2,1,12,0,18,32627.28357798663,65.63486398337075,0.8413796098287347,0.25,0.0,0.2195121951219512,0.1875,0.2,0.1818181818181818,0.1666666666666667,0.5,0.0,0.2432432432432433,0.0334588670760194,0.1586203901712653,0.8413796098287347,3573.0,0.4459203036053131
593500118,Lille Centre 18,2,1,7,11,3,1,0,7,10,6,3812.278512440924,66.11176834849633,0.8319702690455536,0.5,0.3333333333333333,0.1707317073170732,0.6875,0.6,0.09090909090909091,0.0,0.2916666666666667,0.2272727272727273,0.08108108108108109,0.003909443447832289,0.1680297309544464,0.8319702690455536,4205.0,0.2460468058191018
593500119,Lille Centre 19,1,1,39,5,4,1,0,3,12,7,30790.35292893303,66.14870785466698,0.8312414512209766,0.25,0.3333333333333333,0.9512195121951219,0.3125,0.8,0.09090909090909091,0.0,0.125,0.2727272727272727,0.0945945945945946,0.03157511790432868,0.1687585487790234,0.8312414512209766,4208.0,0.2450980392156863
593500201,Vieux Lille 1,1,0,1,5,1,1,1,0,0,22,139437.9261218358,97.73127068771016,0.2081163170568532,0.25,0.0,0.02439024390243903,0.3125,0.2,0.09090909090909091,0.1666666666666667,0.0,0.0,0.2972972972972973,0.1429918314932614,0.7918836829431468,0.2081163170568532,4983.0,0.0
593500202,Vieux Lille 2,0,0,26,5,3,1,0,7,9,7,49150.1743701143,98.26976108019387,0.1974918816734321,0.0,0.0,0.6341463414634146,0.3125,0.6,0.09090909090909091,0.0,0.2916666666666667,0.2045454545454546,0.0945945945945946,0.05040288282296253,0.8025081183265679,0.1974918816734321,4797.0,0.05882352941176471
593500203,Vieux Lille 3,1,0,40,4,4,0,0,4,16,10,17852.04701389249,64.84174322304112,0.8570279117984432,0.25,0.0,0.975609756097561,0.25,0.8,0.0,0.0,0.1666666666666667,0.3636363636363636,0.1351351351351351,0.01830704865898422,0.1429720882015569,0.8570279117984432,4520.0,0.1464263124604681
593500204,Vieux Lille 4,2,0,39,1,0,1,0,2,44,11,16150.44672043329,64.6227428946325,0.8613487963872909,0.5,0.0,0.9512195121951219,0.0625,0.0,0.09090909090909091,0.0,0.08333333333333333,1.0,0.1486486486486487,0.01656207905710845,0.1386512036127091,0.8613487963872909,4690.0,0.09266287160025301
593500205,Vieux Lille 5,0,1,19,4,4,0,0,4,18,16,44719.9330742898,61.32736049802406,0.9263668130968252,0.0,0.3333333333333333,0.4634146341463415,0.25,0.8,0.0,0.0,0.1666666666666667,0.4090909090909091,0.2162162162162162,0.04585972634849299,0.07363318690317476,0.9263668130968252,4208.0,0.2450980392156863
593500206,Vieux Lille 6,0,0,11,1,2,0,0,5,7,10,6113.915875950648,62.44523135037745,0.9043111797863429,0.0,0.0,0.2682926829268293,0.0625,0.4,0.0,0.0,0.2083333333333333,0.1590909090909091,0.1351351351351351,0.006269743483806775,0.09568882021365714,0.9043111797863429,4477.0,0.1600253004427578
593500207,Vieux Lille 7,1,0,0,6,1,4,1,0,2,8,86281.90748389756,94.1829768537128,0.2781242857911084,0.25,0.0,0.0,0.375,0.2,0.3636363636363636,0.1666666666666667,0.0,0.04545454545454546,0.1081081081081081,0.08848100598595028,0.7218757142088916,0.2781242857911084,4474.0,0.1609740670461733
593500303,Catinat,0,0,5,1,0,2,0,0,3,7,3257.060369713628,62.36705482791504,0.9058536054693185,0.0,0.0,0.1219512195121951,0.0625,0.0,0.1818181818181818,0.0,0.0,0.06818181818181818,0.0945945945945946,0.00334007425743359,0.09414639453068155,0.9058536054693185,4497.0,0.1537001897533207
593500304,Cordonnier,1,0,3,1,2,5,0,6,2,10,15202.64763336584,99.83004706911628,0.1667073813362886,0.25,0.0,0.07317073170731707,0.0625,0.4,0.4545454545454545,0.0,0.25,0.04545454545454546,0.1351351351351351,0.01559012306839849,0.8332926186637114,0.1667073813362886,3684.0,0.4108159392789374
593500305,Colson,0,1,6,8,5,0,1,9,5,9,5990.828271276534,65.58126546832162,0.8424371105153492,0.0,0.3333333333333333,0.1463414634146341,0.5,1.0,0.0,0.1666666666666667,0.375,0.1136363636363636,0.1216216216216216,0.006143518700378115,0.1575628894846509,0.8424371105153492,4069.0,0.2890575585072739
593500306,Arbonnoise,2,0,3,5,2,4,0,6,0,7,7383.223616255676,61.76420573503396,0.9177478403947128,0.5,0.0,0.07317073170731707,0.3125,0.4,0.3636363636363636,0.0,0.25,0.0,0.0945945945945946,0.007571402534273433,0.08225215960528723,0.9177478403947128,3567.0,0.4478178368121442
593500307,Lille-Acier,0,0,0,1,1,1,1,0,0,7,10543.90120458644,61.50740620522811,0.9228145046267914,0.0,0.0,0.0,0.0625,0.2,0.09090909090909091,0.1666666666666667,0.0,0.0,0.0945945945945946,0.01081263746715835,0.07718549537320858,0.9228145046267914,2852.0,0.6739405439595193
593500308,Grande Brasserie,1,1,2,4,1,3,0,3,0,16,16781.6386359306,63.44076949835512,0.8846691752630415,0.25,0.3333333333333333,0.04878048780487805,0.25,0.2,0.2727272727272727,0.0,0.125,0.0,0.2162162162162162,0.01720935839158334,0.1153308247369585,0.8846691752630415,3511.0,0.465528146742568
593500309,Lestiboudois,0,0,2,3,1,0,2,8,1,5,3940.54069192683,63.01829188542258,0.8930046742100899,0.0,0.0,0.04878048780487805,0.1875,0.2,0.0,0.3333333333333333,0.3333333333333333,0.02272727272727273,0.06756756756756757,0.004040974692351674,0.1069953257899101,0.8930046742100899,3874.0,0.3507273877292852
593500401,Montebello,1,1,3,4,1,8,1,1,0,10,27325.05834281878,64.8261846998014,0.8573348820380781,0.25,0.3333333333333333,0.07317073170731707,0.25,0.2,0.7272727272727273,0.1666666666666667,0.04166666666666666,0.0,0.1351351351351351,0.02802150208893566,0.1426651179619219,0.8573348820380781,3143.0,0.58191018342821
593500402,Sarrazins,0,0,4,1,2,2,0,2,4,3,7577.621751822262,63.24232326459195,0.8885845268034385,0.0,0.0,0.0975609756097561,0.0625,0.4,0.1818181818181818,0.0,0.08333333333333333,0.09090909090909091,0.04054054054054054,0.007770755366151133,0.1114154731965615,0.8885845268034385,3086.0,0.5999367488931057
593500403,Magenta-Fombello,1,0,4,5,1,7,2,3,0,6,26743.27486753716,65.55210906765755,0.8430123673800811,0.25,0.0,0.0975609756097561,0.3125,0.2,0.6363636363636364,0.3333333333333333,0.125,0.0,0.08108108108108109,0.02742489048564529,0.1569876326199189,0.8430123673800811,3436.5,0.489089184060721
593500404,Flandre,0,1,12,2,3,4,0,0,9,6,4448.165878780476,64.11839904844739,0.8712995191478309,0.0,0.3333333333333333,0.2926829268292683,0.125,0.6,0.3636363636363636,0.0,0.0,0.2045454545454546,0.08108108108108109,0.004561537907820675,0.1287004808521691,0.8712995191478309,3816.0,0.3690702087286528
593500405,Brigode,0,0,3,1,0,0,0,0,1,6,1011.019902559508,62.93724035912525,0.8946038238251869,0.0,0.0,0.07317073170731707,0.0625,0.0,0.0,0.0,0.0,0.02272727272727273,0.08108108108108109,0.001036788136226329,0.1053961761748131,0.8946038238251869,3818.0,0.368437697659709
593500406,Franklin,1,1,11,2,0,0,0,2,17,7,1379.18681657913,63.09581664521041,0.891475107828818,0.25,0.3333333333333333,0.2682926829268293,0.125,0.0,0.0,0.0,0.08333333333333333,0.3863636363636364,0.0945945945945946,0.001414338654905793,0.108524892171182,0.891475107828818,4190.0,0.2507906388361796
593500407,Stations,2,2,14,1,2,1,3,5,14,3,6121.221143804118,64.56274964602326,0.8625324654038362,0.5,0.6666666666666666,0.3414634146341464,0.0625,0.4,0.09090909090909091,0.5,0.2083333333333333,0.3181818181818182,0.04054054054054054,0.006277234943691252,0.1374675345961638,0.8625324654038362,3850.0,0.3583175205566098
593500408,Justice,0,2,7,3,2,1,0,5,2,5,7551.867845483664,66.52228076786767,0.8238708438105257,0.0,0.6666666666666666,0.1707317073170732,0.1875,0.4,0.09090909090909091,0.0,0.2083333333333333,0.04545454545454546,0.06756756756756757,0.007744345060591623,0.1761291561894744,0.8238708438105257,3077.0,0.6027830487033523
